Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533150914
Firmware Version,3.10
Calibration Date,22/03/2024
Test Name,ESJB_2024_001
Test Start Time,17:18:07
Test Start Date,28/10/2024
Test Length [D:H:M],2:23:41
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.016
PM1 Minimum [mg/m3],0.006
PM1 Maximum [mg/m3],0.091
PM1 TWA [mg/m3],0.016
PM2.5 Average [mg/m3],0.017
PM2.5 Minimum [mg/m3],0.006
PM2.5 Maximum [mg/m3],0.093
PM2.5 TWA [mg/m3],0.016
PM4 Average [mg/m3],0.018
PM4 Minimum [mg/m3],0.006
PM4 Maximum [mg/m3],0.097
PM4 TWA [mg/m3],0.017
PM10 Average [mg/m3],0.022
PM10 Minimum [mg/m3],0.006
PM10 Maximum [mg/m3],0.125
PM10 TWA [mg/m3],0.018
TOTAL Average [mg/m3],0.028
TOTAL Minimum [mg/m3],0.006
TOTAL Maximum [mg/m3],0.217
TOTAL TWA [mg/m3],0.019
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4301

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
60,0.019,0.020,0.021,0.025,0.027,,
120,0.020,0.020,0.021,0.026,0.031,,
180,0.019,0.020,0.021,0.026,0.032,,
240,0.020,0.021,0.022,0.026,0.029,,
300,0.020,0.020,0.021,0.025,0.030,,
360,0.019,0.020,0.021,0.025,0.028,,
420,0.019,0.020,0.021,0.026,0.029,,
480,0.026,0.027,0.028,0.033,0.036,,
540,0.018,0.018,0.019,0.023,0.026,,
600,0.017,0.018,0.019,0.023,0.024,,
660,0.019,0.020,0.021,0.026,0.030,,
720,0.022,0.022,0.024,0.028,0.036,,
780,0.022,0.023,0.024,0.028,0.033,,
840,0.022,0.023,0.024,0.028,0.033,,
900,0.021,0.022,0.023,0.027,0.033,,
960,0.018,0.019,0.020,0.023,0.028,,
1020,0.019,0.020,0.021,0.024,0.031,,
1080,0.021,0.022,0.023,0.027,0.030,,
1140,0.019,0.020,0.021,0.026,0.030,,
1200,0.019,0.019,0.020,0.024,0.027,,
1260,0.019,0.020,0.021,0.025,0.028,,
1320,0.017,0.017,0.018,0.023,0.024,,
1380,0.019,0.019,0.020,0.024,0.027,,
1440,0.020,0.020,0.022,0.026,0.029,,
1500,0.019,0.020,0.021,0.024,0.027,,
1560,0.019,0.019,0.021,0.024,0.028,,
1620,0.018,0.019,0.020,0.025,0.029,,
1680,0.018,0.018,0.019,0.023,0.027,,
1740,0.018,0.019,0.020,0.024,0.026,,
1800,0.017,0.017,0.018,0.022,0.024,,
1860,0.019,0.019,0.020,0.024,0.028,,
1920,0.019,0.019,0.020,0.025,0.029,,
1980,0.017,0.018,0.019,0.022,0.024,,
2040,0.016,0.017,0.018,0.021,0.022,,
2100,0.017,0.018,0.019,0.022,0.023,,
2160,0.016,0.017,0.018,0.021,0.023,,
2220,0.017,0.018,0.019,0.023,0.024,,
2280,0.016,0.017,0.018,0.021,0.022,,
2340,0.019,0.020,0.021,0.024,0.028,,
