Instrument Name,DustTrak DRX
Model Number,8534
Serial Number,8534203806
Firmware Version,3.7
Calibration Date,22/02/2024
Test Name,ESJB_dt02_001
Test Start Time,05:04:05 PM
Test Start Date,28/10/2024
Test Length [D:H:M],2:23:57
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.022
PM1 Minimum [mg/m3],0.010
PM1 Maximum [mg/m3],0.073
PM1 TWA [mg/m3],0.017
PM2.5 Average [mg/m3],0.022
PM2.5 Minimum [mg/m3],0.010
PM2.5 Maximum [mg/m3],0.073
PM2.5 TWA [mg/m3],0.017
PM4 Average [mg/m3],0.023
PM4 Minimum [mg/m3],0.011
PM4 Maximum [mg/m3],0.077
PM4 TWA [mg/m3],0.017
PM10 Average [mg/m3],0.035
PM10 Minimum [mg/m3],0.011
PM10 Maximum [mg/m3],0.152
PM10 TWA [mg/m3],0.022
TOTAL Average [mg/m3],0.047
TOTAL Minimum [mg/m3],0.011
TOTAL Maximum [mg/m3],0.284
TOTAL TWA [mg/m3],0.024
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4317

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
60,0.026,0.026,0.027,0.045,0.066,,
120,0.020,0.020,0.022,0.041,0.057,,
180,0.024,0.024,0.025,0.044,0.067,,
240,0.021,0.021,0.023,0.044,0.067,,
300,0.018,0.018,0.020,0.036,0.050,,
360,0.020,0.020,0.022,0.040,0.062,,
420,0.020,0.020,0.022,0.040,0.058,,
480,0.023,0.023,0.024,0.043,0.061,,
540,0.021,0.021,0.023,0.040,0.057,,
600,0.019,0.019,0.021,0.039,0.056,,
660,0.020,0.020,0.021,0.040,0.053,,
720,0.020,0.020,0.022,0.041,0.058,,
780,0.019,0.019,0.020,0.036,0.051,,
840,0.019,0.019,0.020,0.036,0.050,,
900,0.017,0.017,0.019,0.033,0.047,,
960,0.020,0.020,0.022,0.037,0.055,,
1020,0.020,0.020,0.022,0.039,0.057,,
1080,0.020,0.020,0.022,0.039,0.053,,
1140,0.018,0.018,0.020,0.035,0.049,,
1200,0.019,0.019,0.021,0.035,0.049,,
1260,0.019,0.019,0.021,0.034,0.049,,
1320,0.018,0.018,0.020,0.033,0.052,,
1380,0.018,0.018,0.020,0.035,0.047,,
1440,0.018,0.018,0.020,0.036,0.050,,
1500,0.019,0.019,0.021,0.039,0.060,,
1560,0.021,0.021,0.023,0.041,0.072,,
1620,0.021,0.021,0.023,0.041,0.067,,
1680,0.019,0.019,0.020,0.038,0.055,,
1740,0.021,0.021,0.022,0.039,0.062,,
1800,0.017,0.017,0.019,0.034,0.044,,
1860,0.019,0.019,0.021,0.038,0.055,,
1920,0.018,0.018,0.020,0.038,0.053,,
1980,0.018,0.018,0.020,0.035,0.049,,
2040,0.017,0.017,0.019,0.036,0.044,,
2100,0.018,0.018,0.020,0.035,0.047,,
2160,0.018,0.018,0.020,0.032,0.044,,
2220,0.017,0.017,0.019,0.034,0.044,,
2280,0.017,0.017,0.018,0.032,0.041,,
2340,0.018,0.018,0.020,0.036,0.046,,
2400,0.019,0.019,0.020,0.035,0.048,,
2460,0.017,0.017,0.019,0.032,0.043,,
2520,0.016,0.016,0.018,0.033,0.039,,
2580,0.017,0.017,0.018,0.033,0.042,,
2640,0.017,0.017,0.018,0.031,0.037,,
2700,0.017,0.017,0.018,0.031,0.040,,
2760,0.016,0.016,0.018,0.032,0.040,,
2820,0.016,0.016,0.018,0.029,0.038,,
2880,0.016,0.016,0.018,0.029,0.037,,
2940,0.015,0.015,0.016,0.028,0.033,,
3000,0.015,0.015,0.016,0.027,0.030,,
3060,0.014,0.014,0.016,0.027,0.031,,
3120,0.016,0.016,0.018,0.030,0.036,,
3180,0.015,0.015,0.016,0.028,0.033,,
3240,0.016,0.016,0.017,0.028,0.034,,
3300,0.016,0.016,0.017,0.029,0.035,,
3360,0.019,0.019,0.020,0.030,0.039,,
3420,0.016,0.016,0.017,0.028,0.036,,
3480,0.016,0.016,0.017,0.028,0.039,,
3540,0.017,0.017,0.018,0.030,0.043,,
3600,0.016,0.016,0.017,0.028,0.040,,
3660,0.017,0.017,0.018,0.030,0.043,,
3720,0.017,0.017,0.018,0.027,0.035,,
3780,0.016,0.016,0.017,0.028,0.035,,
3840,0.015,0.015,0.016,0.026,0.035,,
3900,0.014,0.014,0.016,0.026,0.030,,
3960,0.016,0.016,0.018,0.027,0.035,,
4020,0.015,0.015,0.016,0.026,0.033,,
4080,0.015,0.015,0.016,0.027,0.033,,
4140,0.015,0.015,0.016,0.025,0.032,,
4200,0.014,0.014,0.016,0.024,0.029,,
4260,0.015,0.015,0.016,0.027,0.032,,
4320,0.015,0.015,0.017,0.027,0.032,,
4380,0.015,0.015,0.017,0.030,0.036,,
4440,0.015,0.015,0.016,0.025,0.031,,
4500,0.015,0.015,0.016,0.027,0.033,,
4560,0.014,0.014,0.015,0.024,0.027,,
4620,0.014,0.014,0.015,0.025,0.029,,
4680,0.014,0.014,0.015,0.024,0.028,,
4740,0.015,0.015,0.016,0.026,0.034,,
4800,0.015,0.015,0.016,0.027,0.035,,
4860,0.014,0.014,0.015,0.023,0.026,,
4920,0.015,0.015,0.016,0.026,0.032,,
4980,0.014,0.014,0.016,0.026,0.029,,
5040,0.014,0.014,0.015,0.024,0.028,,
5100,0.014,0.014,0.015,0.025,0.028,,
5160,0.014,0.014,0.015,0.026,0.028,,
5220,0.014,0.014,0.015,0.024,0.027,,
5280,0.014,0.014,0.016,0.024,0.029,,
5340,0.014,0.014,0.015,0.024,0.028,,
5400,0.015,0.015,0.016,0.025,0.028,,
5460,0.015,0.015,0.017,0.025,0.031,,
5520,0.016,0.016,0.017,0.027,0.032,,
5580,0.014,0.014,0.015,0.023,0.027,,
5640,0.014,0.014,0.015,0.023,0.027,,
5700,0.014,0.014,0.015,0.023,0.025,,
5760,0.014,0.014,0.015,0.025,0.027,,
5820,0.015,0.015,0.016,0.028,0.032,,
5880,0.015,0.015,0.016,0.026,0.028,,
5940,0.015,0.015,0.016,0.025,0.028,,
6000,0.015,0.015,0.016,0.025,0.029,,
6060,0.015,0.015,0.017,0.028,0.034,,
6120,0.017,0.017,0.018,0.027,0.031,,
6180,0.015,0.015,0.016,0.025,0.028,,
6240,0.015,0.015,0.016,0.025,0.028,,
6300,0.015,0.015,0.017,0.026,0.032,,
6360,0.015,0.015,0.016,0.024,0.027,,
6420,0.015,0.015,0.016,0.024,0.025,,
6480,0.014,0.014,0.015,0.023,0.026,,
6540,0.015,0.015,0.016,0.024,0.026,,
6600,0.014,0.014,0.015,0.025,0.026,,
6660,0.015,0.015,0.016,0.024,0.027,,
6720,0.015,0.015,0.016,0.024,0.026,,
6780,0.015,0.015,0.016,0.023,0.025,,
6840,0.014,0.014,0.015,0.022,0.023,,
6900,0.015,0.015,0.016,0.023,0.026,,
6960,0.014,0.014,0.016,0.023,0.025,,
7020,0.014,0.014,0.015,0.023,0.024,,
7080,0.014,0.014,0.015,0.022,0.023,,
7140,0.016,0.016,0.017,0.024,0.027,,
7200,0.015,0.015,0.016,0.025,0.026,,
7260,0.014,0.014,0.015,0.023,0.025,,
7320,0.014,0.014,0.015,0.022,0.023,,
7380,0.014,0.014,0.015,0.023,0.026,,
7440,0.014,0.014,0.015,0.023,0.024,,
7500,0.014,0.014,0.015,0.021,0.022,,
7560,0.014,0.014,0.015,0.021,0.021,,
7620,0.014,0.014,0.015,0.022,0.023,,
7680,0.014,0.014,0.016,0.022,0.024,,
7740,0.014,0.014,0.015,0.022,0.024,,
7800,0.014,0.014,0.015,0.021,0.021,,
7860,0.014,0.014,0.015,0.020,0.023,,
7920,0.014,0.014,0.015,0.022,0.024,,
7980,0.014,0.014,0.015,0.021,0.022,,
8040,0.014,0.014,0.015,0.020,0.021,,
8100,0.014,0.014,0.015,0.022,0.023,,
8160,0.014,0.014,0.015,0.020,0.021,,
