Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533150914
Firmware Version,3.10
Calibration Date,22/03/2024
Test Name,TRAIN.DT03_011
Test Start Time,16:56:58
Test Start Date,16/01/2025
Test Length [D:H:M],4:23:35
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.031
PM1 Minimum [mg/m3],0.007
PM1 Maximum [mg/m3],0.297
PM1 TWA [mg/m3],0.056
PM2.5 Average [mg/m3],0.033
PM2.5 Minimum [mg/m3],0.007
PM2.5 Maximum [mg/m3],0.316
PM2.5 TWA [mg/m3],0.057
PM4 Average [mg/m3],0.035
PM4 Minimum [mg/m3],0.007
PM4 Maximum [mg/m3],0.374
PM4 TWA [mg/m3],0.059
PM10 Average [mg/m3],0.042
PM10 Minimum [mg/m3],0.007
PM10 Maximum [mg/m3],0.810
PM10 TWA [mg/m3],0.062
TOTAL Average [mg/m3],0.048
TOTAL Minimum [mg/m3],0.007
TOTAL Maximum [mg/m3],1.06
TOTAL TWA [mg/m3],0.064
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,7175

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
60,0.051,0.054,0.058,0.074,0.099,,
120,0.051,0.053,0.058,0.075,0.094,,
180,0.050,0.052,0.056,0.070,0.090,,
240,0.052,0.054,0.058,0.075,0.094,,
300,0.054,0.056,0.060,0.076,0.097,,
360,0.066,0.068,0.071,0.087,0.110,,
420,0.054,0.056,0.060,0.077,0.099,,
480,0.050,0.052,0.055,0.067,0.083,,
540,0.056,0.058,0.062,0.077,0.097,,
600,0.048,0.050,0.054,0.068,0.078,,
660,0.050,0.052,0.055,0.068,0.081,,
720,0.051,0.052,0.056,0.068,0.081,,
780,0.049,0.051,0.054,0.066,0.078,,
840,0.053,0.055,0.058,0.069,0.085,,
900,0.049,0.051,0.054,0.066,0.079,,
960,0.047,0.049,0.052,0.061,0.075,,
1020,0.047,0.049,0.051,0.061,0.071,,
1080,0.048,0.050,0.052,0.063,0.078,,
1140,0.050,0.052,0.055,0.066,0.084,,
1200,0.046,0.048,0.051,0.061,0.074,,
1260,0.051,0.053,0.057,0.067,0.083,,
1320,0.045,0.047,0.049,0.058,0.066,,
1380,0.045,0.047,0.050,0.059,0.068,,
1440,0.047,0.049,0.051,0.060,0.070,,
1500,0.045,0.047,0.049,0.057,0.066,,
1560,0.044,0.046,0.049,0.056,0.064,,
1620,0.046,0.048,0.050,0.059,0.069,,
1680,0.044,0.046,0.048,0.056,0.063,,
1740,0.045,0.047,0.049,0.057,0.062,,
1800,0.046,0.048,0.050,0.058,0.063,,
1860,0.045,0.046,0.049,0.055,0.061,,
1920,0.045,0.047,0.049,0.057,0.065,,
1980,0.045,0.046,0.049,0.055,0.058,,
2040,0.043,0.044,0.047,0.052,0.056,,
2100,0.045,0.047,0.049,0.058,0.061,,
2160,0.045,0.047,0.049,0.056,0.062,,
2220,0.045,0.047,0.049,0.057,0.064,,
2280,0.047,0.049,0.052,0.060,0.067,,
2340,0.046,0.048,0.050,0.059,0.069,,
2400,0.047,0.049,0.052,0.061,0.072,,
2460,0.048,0.050,0.053,0.063,0.073,,
2520,0.047,0.049,0.051,0.060,0.068,,
2580,0.047,0.049,0.052,0.062,0.071,,
2640,0.048,0.050,0.053,0.064,0.075,,
2700,0.048,0.050,0.053,0.065,0.072,,
2760,0.048,0.050,0.053,0.064,0.075,,
2820,0.050,0.052,0.055,0.067,0.077,,
2880,0.050,0.052,0.056,0.065,0.076,,
2940,0.049,0.051,0.055,0.067,0.076,,
3000,0.054,0.056,0.059,0.071,0.083,,
3060,0.050,0.052,0.055,0.067,0.080,,
3120,0.049,0.051,0.055,0.066,0.075,,
3180,0.048,0.050,0.053,0.064,0.074,,
3240,0.048,0.050,0.053,0.063,0.069,,
3300,0.050,0.052,0.055,0.066,0.075,,
3360,0.048,0.050,0.053,0.064,0.071,,
3420,0.050,0.052,0.055,0.067,0.075,,
3480,0.048,0.050,0.054,0.064,0.072,,
3540,0.049,0.051,0.055,0.066,0.075,,
3600,0.049,0.051,0.054,0.064,0.072,,
3660,0.048,0.051,0.054,0.066,0.074,,
3720,0.049,0.051,0.054,0.065,0.074,,
3780,0.051,0.053,0.056,0.069,0.078,,
3840,0.048,0.050,0.054,0.064,0.070,,
3900,0.049,0.051,0.054,0.066,0.074,,
3960,0.049,0.052,0.055,0.066,0.073,,
4020,0.050,0.053,0.057,0.068,0.076,,
4080,0.050,0.053,0.056,0.068,0.078,,
4140,0.052,0.055,0.058,0.069,0.079,,
4200,0.051,0.053,0.057,0.068,0.077,,
4260,0.053,0.055,0.059,0.072,0.084,,
4320,0.051,0.053,0.057,0.072,0.080,,
4380,0.051,0.053,0.057,0.070,0.079,,
4440,0.052,0.054,0.058,0.071,0.080,,
4500,0.052,0.055,0.059,0.072,0.081,,
4560,0.051,0.053,0.057,0.069,0.076,,
4620,0.051,0.054,0.057,0.067,0.076,,
4680,0.053,0.055,0.059,0.071,0.080,,
4740,0.053,0.055,0.059,0.074,0.081,,
4800,0.052,0.055,0.059,0.072,0.079,,
4860,0.052,0.054,0.058,0.071,0.079,,
4920,0.051,0.054,0.058,0.070,0.075,,
4980,0.053,0.055,0.059,0.072,0.079,,
5040,0.051,0.053,0.057,0.066,0.072,,
5100,0.052,0.055,0.058,0.069,0.077,,
5160,0.053,0.055,0.059,0.071,0.078,,
5220,0.051,0.053,0.057,0.065,0.070,,
5280,0.050,0.053,0.057,0.066,0.071,,
5340,0.051,0.054,0.057,0.067,0.073,,
5400,0.055,0.057,0.061,0.071,0.079,,
5460,0.051,0.054,0.057,0.068,0.072,,
5520,0.052,0.054,0.058,0.068,0.072,,
5580,0.052,0.055,0.058,0.069,0.075,,
5640,0.052,0.055,0.058,0.069,0.073,,
5700,0.051,0.053,0.056,0.065,0.069,,
5760,0.052,0.054,0.057,0.068,0.072,,
5820,0.051,0.054,0.057,0.065,0.071,,
5880,0.051,0.054,0.057,0.065,0.070,,
5940,0.051,0.053,0.056,0.065,0.069,,
6000,0.051,0.053,0.056,0.064,0.067,,
6060,0.051,0.053,0.056,0.064,0.069,,
6120,0.050,0.052,0.055,0.063,0.068,,
6180,0.050,0.052,0.055,0.063,0.068,,
6240,0.051,0.053,0.056,0.063,0.066,,
6300,0.051,0.053,0.057,0.064,0.068,,
6360,0.051,0.053,0.056,0.063,0.067,,
6420,0.051,0.053,0.056,0.063,0.067,,
6480,0.051,0.053,0.056,0.063,0.066,,
6540,0.050,0.053,0.056,0.063,0.067,,
6600,0.052,0.054,0.057,0.064,0.068,,
6660,0.051,0.054,0.056,0.062,0.064,,
6720,0.051,0.053,0.056,0.062,0.063,,
6780,0.051,0.053,0.055,0.062,0.064,,
6840,0.051,0.053,0.056,0.062,0.065,,
6900,0.050,0.052,0.055,0.061,0.063,,
6960,0.050,0.052,0.055,0.060,0.061,,
7020,0.050,0.052,0.055,0.060,0.064,,
7080,0.051,0.053,0.055,0.061,0.063,,
7140,0.050,0.052,0.054,0.059,0.062,,
7200,0.050,0.052,0.055,0.061,0.063,,
7260,0.050,0.053,0.055,0.060,0.061,,
7320,0.050,0.052,0.054,0.059,0.061,,
7380,0.049,0.051,0.053,0.058,0.059,,
7440,0.050,0.052,0.054,0.059,0.061,,
7500,0.050,0.052,0.055,0.060,0.063,,
7560,0.050,0.052,0.054,0.059,0.061,,
7620,0.049,0.051,0.054,0.057,0.059,,
7680,0.050,0.052,0.054,0.058,0.059,,
7740,0.050,0.052,0.054,0.059,0.060,,
7800,0.050,0.052,0.054,0.058,0.059,,
7860,0.049,0.051,0.053,0.057,0.058,,
7920,0.050,0.052,0.054,0.059,0.060,,
7980,0.050,0.052,0.054,0.058,0.059,,
8040,0.050,0.052,0.054,0.057,0.060,,
8100,0.050,0.052,0.054,0.057,0.059,,
8160,0.049,0.051,0.053,0.056,0.057,,
8220,0.050,0.051,0.054,0.058,0.058,,
8280,0.050,0.052,0.054,0.058,0.060,,
8340,0.049,0.050,0.052,0.055,0.056,,
8400,0.050,0.051,0.053,0.057,0.059,,
8460,0.049,0.051,0.053,0.057,0.058,,
8520,0.049,0.051,0.052,0.056,0.056,,
8580,0.049,0.051,0.053,0.056,0.058,,
8640,0.049,0.051,0.053,0.056,0.058,,
8700,0.049,0.051,0.053,0.056,0.057,,
8760,0.049,0.051,0.053,0.056,0.056,,
8820,0.050,0.052,0.054,0.056,0.057,,
8880,0.049,0.051,0.053,0.055,0.056,,
8940,0.049,0.051,0.053,0.056,0.056,,
9000,0.049,0.051,0.052,0.055,0.056,,
9060,0.049,0.051,0.052,0.055,0.058,,
9120,0.050,0.051,0.053,0.055,0.056,,
9180,0.049,0.050,0.052,0.054,0.054,,
9240,0.049,0.050,0.052,0.054,0.056,,
9300,0.049,0.051,0.052,0.056,0.057,,
9360,0.049,0.051,0.052,0.055,0.057,,
9420,0.049,0.051,0.053,0.056,0.057,,
9480,0.049,0.051,0.052,0.055,0.056,,
9540,0.049,0.050,0.052,0.054,0.054,,
9600,0.049,0.051,0.052,0.054,0.055,,
9660,0.049,0.051,0.052,0.054,0.055,,
9720,0.050,0.051,0.053,0.055,0.056,,
9780,0.048,0.050,0.051,0.054,0.054,,
9840,0.049,0.050,0.052,0.054,0.054,,
9900,0.050,0.051,0.053,0.055,0.056,,
9960,0.049,0.050,0.051,0.054,0.055,,
10020,0.049,0.050,0.052,0.054,0.055,,
10080,0.048,0.049,0.051,0.053,0.053,,
10140,0.048,0.050,0.051,0.053,0.054,,
10200,0.049,0.050,0.052,0.053,0.054,,
10260,0.048,0.050,0.051,0.052,0.053,,
10320,0.049,0.050,0.052,0.054,0.054,,
10380,0.049,0.050,0.051,0.053,0.054,,
10440,0.048,0.049,0.051,0.053,0.054,,
10500,0.049,0.050,0.052,0.054,0.054,,
10560,0.048,0.050,0.051,0.053,0.053,,
10620,0.049,0.050,0.052,0.053,0.054,,
10680,0.049,0.050,0.052,0.054,0.054,,
10740,0.049,0.050,0.051,0.053,0.053,,
10800,0.049,0.050,0.051,0.053,0.053,,
10860,0.049,0.051,0.052,0.054,0.055,,
10920,0.049,0.050,0.051,0.053,0.053,,
10980,0.049,0.050,0.051,0.053,0.054,,
11040,0.048,0.049,0.051,0.052,0.053,,
11100,0.048,0.049,0.050,0.051,0.051,,
11160,0.048,0.049,0.050,0.052,0.052,,
11220,0.050,0.051,0.052,0.054,0.054,,
11280,0.049,0.050,0.051,0.053,0.053,,
11340,0.049,0.050,0.051,0.053,0.053,,
11400,0.049,0.050,0.051,0.053,0.054,,
11460,0.049,0.050,0.051,0.053,0.053,,
11520,0.049,0.050,0.051,0.052,0.053,,
11580,0.049,0.050,0.051,0.053,0.053,,
11640,0.049,0.050,0.051,0.052,0.053,,
11700,0.049,0.051,0.052,0.054,0.054,,
11760,0.049,0.050,0.051,0.053,0.054,,
11820,0.049,0.050,0.051,0.053,0.053,,
11880,0.049,0.050,0.051,0.052,0.052,,
11940,0.048,0.050,0.050,0.053,0.053,,
12000,0.048,0.049,0.050,0.051,0.051,,
12060,0.049,0.050,0.051,0.052,0.054,,
12120,0.050,0.051,0.052,0.053,0.054,,
12180,0.049,0.050,0.051,0.053,0.053,,
12240,0.049,0.050,0.051,0.053,0.053,,
12300,0.050,0.051,0.052,0.054,0.054,,
12360,0.050,0.051,0.052,0.053,0.054,,
12420,0.049,0.050,0.051,0.053,0.053,,
12480,0.050,0.051,0.052,0.053,0.053,,
12540,0.049,0.050,0.051,0.052,0.052,,
12600,0.049,0.050,0.051,0.053,0.054,,
12660,0.050,0.051,0.052,0.053,0.054,,
12720,0.049,0.051,0.051,0.053,0.053,,
12780,0.050,0.051,0.052,0.053,0.053,,
12840,0.049,0.051,0.052,0.053,0.053,,
12900,0.049,0.051,0.051,0.052,0.053,,
12960,0.050,0.051,0.052,0.053,0.053,,
13020,0.050,0.051,0.052,0.054,0.054,,
13080,0.050,0.051,0.052,0.053,0.053,,
13140,0.050,0.051,0.052,0.053,0.053,,
13200,0.049,0.050,0.051,0.052,0.052,,
13260,0.049,0.050,0.051,0.052,0.052,,
13320,0.049,0.050,0.051,0.051,0.051,,
13380,0.049,0.050,0.051,0.052,0.052,,
13440,0.050,0.051,0.052,0.052,0.052,,
13500,0.050,0.051,0.052,0.053,0.053,,
13560,0.050,0.051,0.052,0.053,0.053,,
13620,0.049,0.050,0.051,0.052,0.052,,
13680,0.050,0.051,0.052,0.052,0.052,,
13740,0.049,0.050,0.051,0.053,0.053,,
13800,0.049,0.050,0.050,0.051,0.052,,
13860,0.049,0.050,0.051,0.052,0.052,,
13920,0.050,0.051,0.052,0.052,0.052,,
13980,0.050,0.051,0.051,0.052,0.052,,
14040,0.050,0.051,0.051,0.052,0.052,,
14100,0.051,0.052,0.053,0.054,0.054,,
14160,0.050,0.051,0.052,0.053,0.053,,
14220,0.050,0.051,0.052,0.053,0.053,,
14280,0.051,0.052,0.052,0.053,0.053,,
14340,0.050,0.051,0.052,0.053,0.053,,
14400,0.051,0.052,0.053,0.053,0.053,,
14460,0.050,0.051,0.052,0.053,0.053,,
14520,0.051,0.052,0.052,0.053,0.053,,
14580,0.051,0.052,0.053,0.053,0.053,,
14640,0.050,0.051,0.051,0.053,0.053,,
14700,0.051,0.052,0.053,0.054,0.054,,
14760,0.051,0.052,0.053,0.054,0.054,,
14820,0.050,0.051,0.052,0.052,0.052,,
14880,0.051,0.052,0.052,0.053,0.053,,
14940,0.051,0.052,0.053,0.054,0.054,,
15000,0.051,0.052,0.053,0.054,0.054,,
15060,0.052,0.053,0.053,0.054,0.054,,
15120,0.051,0.052,0.053,0.053,0.054,,
15180,0.052,0.053,0.054,0.055,0.055,,
15240,0.051,0.052,0.052,0.053,0.053,,
15300,0.051,0.052,0.053,0.054,0.054,,
15360,0.051,0.052,0.052,0.053,0.053,,
15420,0.052,0.052,0.053,0.054,0.054,,
15480,0.051,0.052,0.053,0.054,0.054,,
15540,0.053,0.054,0.055,0.055,0.055,,
15600,0.053,0.054,0.055,0.055,0.055,,
15660,0.053,0.053,0.054,0.055,0.055,,
15720,0.052,0.053,0.054,0.054,0.054,,
15780,0.052,0.053,0.053,0.054,0.054,,
15840,0.053,0.053,0.054,0.055,0.055,,
15900,0.051,0.052,0.053,0.053,0.053,,
15960,0.052,0.053,0.053,0.054,0.054,,
16020,0.053,0.054,0.054,0.055,0.056,,
16080,0.053,0.054,0.054,0.055,0.055,,
16140,0.054,0.054,0.055,0.056,0.056,,
16200,0.053,0.054,0.055,0.056,0.056,,
16260,0.053,0.054,0.055,0.055,0.055,,
16320,0.054,0.054,0.055,0.056,0.056,,
16380,0.053,0.054,0.054,0.054,0.054,,
16440,0.053,0.054,0.054,0.055,0.055,,
16500,0.053,0.054,0.055,0.056,0.056,,
16560,0.055,0.056,0.056,0.057,0.057,,
16620,0.054,0.055,0.056,0.056,0.056,,
16680,0.053,0.054,0.055,0.055,0.056,,
16740,0.053,0.054,0.054,0.055,0.056,,
16800,0.055,0.055,0.056,0.057,0.057,,
16860,0.055,0.056,0.057,0.057,0.058,,
16920,0.054,0.055,0.056,0.057,0.057,,
16980,0.054,0.055,0.055,0.056,0.056,,
17040,0.053,0.054,0.055,0.055,0.055,,
17100,0.053,0.054,0.054,0.054,0.054,,
17160,0.054,0.055,0.055,0.056,0.056,,
17220,0.054,0.055,0.055,0.056,0.056,,
17280,0.054,0.054,0.055,0.055,0.055,,
17340,0.055,0.056,0.057,0.057,0.057,,
17400,0.055,0.055,0.056,0.056,0.056,,
17460,0.053,0.054,0.054,0.055,0.055,,
17520,0.054,0.055,0.055,0.056,0.056,,
17580,0.054,0.055,0.055,0.056,0.056,,
17640,0.055,0.056,0.056,0.057,0.057,,
17700,0.056,0.056,0.057,0.058,0.058,,
17760,0.055,0.056,0.056,0.056,0.056,,
17820,0.055,0.056,0.057,0.057,0.057,,
17880,0.055,0.056,0.057,0.057,0.057,,
17940,0.054,0.055,0.056,0.056,0.056,,
18000,0.054,0.055,0.056,0.056,0.056,,
18060,0.055,0.056,0.056,0.057,0.057,,
18120,0.056,0.056,0.057,0.058,0.058,,
18180,0.054,0.055,0.056,0.056,0.056,,
18240,0.055,0.055,0.056,0.056,0.056,,
18300,0.056,0.057,0.057,0.058,0.058,,
18360,0.056,0.057,0.057,0.058,0.058,,
18420,0.056,0.056,0.057,0.057,0.057,,
18480,0.055,0.056,0.057,0.057,0.057,,
18540,0.057,0.057,0.058,0.058,0.059,,
18600,0.056,0.056,0.057,0.057,0.057,,
18660,0.056,0.057,0.057,0.058,0.058,,
18720,0.057,0.058,0.058,0.059,0.059,,
18780,0.059,0.059,0.060,0.060,0.060,,
18840,0.056,0.056,0.057,0.057,0.057,,
18900,0.055,0.056,0.057,0.057,0.057,,
18960,0.056,0.057,0.058,0.058,0.058,,
19020,0.058,0.059,0.059,0.060,0.060,,
19080,0.057,0.058,0.059,0.059,0.059,,
19140,0.056,0.057,0.057,0.058,0.058,,
19200,0.057,0.058,0.058,0.058,0.058,,
19260,0.057,0.057,0.058,0.058,0.059,,
19320,0.057,0.058,0.058,0.059,0.059,,
19380,0.057,0.058,0.058,0.059,0.059,,
19440,0.056,0.057,0.057,0.058,0.058,,
19500,0.057,0.058,0.059,0.059,0.059,,
19560,0.057,0.058,0.058,0.058,0.058,,
19620,0.056,0.056,0.057,0.057,0.057,,
19680,0.056,0.057,0.057,0.058,0.058,,
19740,0.056,0.057,0.057,0.058,0.058,,
19800,0.057,0.057,0.058,0.058,0.058,,
19860,0.057,0.058,0.058,0.058,0.058,,
19920,0.057,0.057,0.058,0.058,0.058,,
19980,0.058,0.058,0.059,0.059,0.059,,
20040,0.058,0.058,0.059,0.059,0.059,,
20100,0.057,0.058,0.058,0.059,0.059,,
20160,0.057,0.057,0.058,0.058,0.058,,
